Arduino_Timestamp,Temperature_C,Humidity_Percent,Humidifier_State,Lights_State,Pi_Receive_Time
2026-02-02 17:36:31,34.5,39.1,ON,OFF,2026-02-02 17:36:31
2026-02-02 17:36:36,34.5,39.1,ON,OFF,2026-02-02 17:36:36
2026-02-02 17:36:41,34.5,39.1,ON,OFF,2026-02-02 17:36:41
2026-02-02 17:36:46,34.5,39.2,OFF,OFF,2026-02-02 17:36:46
2026-02-02 17:36:51,34.5,39.2,OFF,OFF,2026-02-02 17:36:51
2026-02-02 17:36:56,34.5,39.2,OFF,OFF,2026-02-02 17:36:56
2026-02-02 17:37:01,34.5,39.1,OFF,OFF,2026-02-02 17:37:01
2026-02-02 17:37:06,34.5,39.0,OFF,OFF,2026-02-02 17:37:06
2026-02-02 17:37:11,34.5,39.1,OFF,OFF,2026-02-02 17:37:11
2026-02-02 17:37:16,34.5,39.1,OFF,OFF,2026-02-02 17:37:16
2026-02-02 17:37:21,34.5,39.2,OFF,OFF,2026-02-02 17:37:21
2026-02-02 17:37:27,34.5,39.2,OFF,OFF,2026-02-02 17:37:26
2026-02-02 17:37:32,34.5,39.1,OFF,OFF,2026-02-02 17:37:31
2026-02-02 17:37:37,34.5,39.1,OFF,OFF,2026-02-02 17:37:36
2026-02-02 17:37:42,34.5,39.1,OFF,OFF,2026-02-02 17:37:41
2026-02-02 17:37:47,34.5,39.1,ON,OFF,2026-02-02 17:37:46
2026-02-02 17:37:52,34.5,39.1,ON,OFF,2026-02-02 17:37:51
2026-02-02 17:37:57,34.5,39.2,ON,OFF,2026-02-02 17:37:56
2026-02-02 17:38:02,34.5,39.1,ON,OFF,2026-02-02 17:38:01
2026-02-02 17:38:07,34.5,39.1,ON,OFF,2026-02-02 17:38:06
2026-02-02 17:38:12,34.5,39.0,ON,OFF,2026-02-02 17:38:11
2026-02-02 17:38:17,34.5,39.0,ON,OFF,2026-02-02 17:38:16
2026-02-02 17:38:22,34.5,39.0,ON,OFF,2026-02-02 17:38:21
2026-02-02 17:38:27,34.5,39.1,ON,OFF,2026-02-02 17:38:26
2026-02-02 17:38:32,34.5,39.1,ON,OFF,2026-02-02 17:38:31
2026-02-02 17:38:37,34.5,39.1,ON,OFF,2026-02-02 17:38:36
2026-02-02 17:38:42,34.5,39.1,ON,OFF,2026-02-02 17:38:41
2026-02-02 17:38:47,34.5,39.1,OFF,ON,2026-02-02 17:38:46
2026-02-02 17:38:52,34.5,39.1,OFF,ON,2026-02-02 17:38:52
2026-02-02 17:38:57,34.5,39.1,OFF,ON,2026-02-02 17:38:57
2026-02-02 17:39:02,34.5,39.0,OFF,ON,2026-02-02 17:39:02
2026-02-02 17:39:07,34.5,39.0,OFF,ON,2026-02-02 17:39:07
2026-02-02 17:39:12,34.5,39.0,OFF,ON,2026-02-02 17:39:12
2026-02-02 17:39:17,34.5,39.0,OFF,ON,2026-02-02 17:39:17
2026-02-02 17:39:22,34.5,39.0,OFF,ON,2026-02-02 17:39:22
2026-02-02 17:39:27,34.5,39.0,OFF,ON,2026-02-02 17:39:27
2026-02-02 17:39:32,34.5,39.1,OFF,ON,2026-02-02 17:39:32
2026-02-02 17:39:37,34.5,39.1,OFF,ON,2026-02-02 17:39:37
2026-02-02 17:39:42,34.5,39.1,OFF,ON,2026-02-02 17:39:42
2026-02-02 17:39:47,34.5,39.1,ON,OFF,2026-02-02 17:39:47
2026-02-02 17:39:52,34.5,39.1,ON,OFF,2026-02-02 17:39:52
2026-02-02 17:39:57,34.5,39.1,ON,OFF,2026-02-02 17:39:57
2026-02-02 17:40:02,34.5,39.0,ON,OFF,2026-02-02 17:40:02
2026-02-02 17:40:07,34.5,39.0,ON,OFF,2026-02-02 17:40:07
2026-02-02 17:40:12,34.5,39.0,ON,OFF,2026-02-02 17:40:12
2026-02-02 17:40:17,34.5,39.0,ON,OFF,2026-02-02 17:40:17
2026-02-02 17:40:22,34.5,39.0,ON,OFF,2026-02-02 17:40:22
2026-02-02 17:40:27,34.5,39.0,ON,OFF,2026-02-02 17:40:27
2026-02-02 17:40:32,34.5,39.0,ON,OFF,2026-02-02 17:40:32
2026-02-02 17:40:37,34.5,39.0,ON,OFF,2026-02-02 17:40:37
2026-02-02 17:40:42,34.5,39.1,ON,OFF,2026-02-02 17:40:42
2026-02-02 17:40:47,34.5,39.0,OFF,OFF,2026-02-02 17:40:47
2026-02-02 17:40:52,34.5,38.9,OFF,OFF,2026-02-02 17:40:52
2026-02-02 17:40:57,34.5,39.0,OFF,OFF,2026-02-02 17:40:57
2026-02-02 17:41:02,34.5,39.0,OFF,OFF,2026-02-02 17:41:02
2026-02-02 17:41:07,34.5,39.0,OFF,OFF,2026-02-02 17:41:07
2026-02-02 17:41:12,34.5,39.0,OFF,OFF,2026-02-02 17:41:12
2026-02-02 17:41:17,34.4,38.9,OFF,OFF,2026-02-02 17:41:17
2026-02-02 17:41:22,34.5,39.0,OFF,OFF,2026-02-02 17:41:22
2026-02-02 17:41:27,34.4,38.9,OFF,OFF,2026-02-02 17:41:27
2026-02-02 17:41:32,34.4,38.9,OFF,OFF,2026-02-02 17:41:32
2026-02-02 17:41:37,34.4,38.9,OFF,OFF,2026-02-02 17:41:37
2026-02-02 17:41:42,34.5,38.9,OFF,OFF,2026-02-02 17:41:42
2026-02-02 17:41:47,34.5,38.9,ON,OFF,2026-02-02 17:41:47
2026-02-02 17:41:52,34.5,38.8,ON,OFF,2026-02-02 17:41:52
2026-02-02 17:41:57,34.4,38.9,ON,OFF,2026-02-02 17:41:57
2026-02-02 17:42:02,34.5,39.0,ON,OFF,2026-02-02 17:42:02
2026-02-02 17:42:07,34.5,38.9,ON,OFF,2026-02-02 17:42:07
2026-02-02 17:42:13,34.4,39.0,ON,OFF,2026-02-02 17:42:12
2026-02-02 17:42:18,34.4,39.0,ON,OFF,2026-02-02 17:42:17
2026-02-02 17:42:23,34.4,39.0,ON,OFF,2026-02-02 17:42:22
2026-02-02 17:42:28,34.5,39.1,ON,OFF,2026-02-02 17:42:27
2026-02-02 17:42:33,34.4,39.0,ON,OFF,2026-02-02 17:42:32
2026-02-02 17:42:38,34.5,38.9,ON,OFF,2026-02-02 17:42:37
2026-02-02 17:42:43,34.4,38.9,ON,OFF,2026-02-02 17:42:42
2026-02-02 17:42:48,34.5,39.0,OFF,OFF,2026-02-02 17:42:47
2026-02-02 17:42:53,34.4,39.1,OFF,OFF,2026-02-02 17:42:52
2026-02-02 17:42:58,34.4,39.1,OFF,OFF,2026-02-02 17:42:57
2026-02-02 17:43:03,34.5,39.1,OFF,OFF,2026-02-02 17:43:02
2026-02-02 17:43:08,34.4,39.0,OFF,OFF,2026-02-02 17:43:07
2026-02-02 17:43:13,34.4,39.1,OFF,OFF,2026-02-02 17:43:12
2026-02-02 17:43:18,34.4,39.0,OFF,OFF,2026-02-02 17:43:17
2026-02-02 17:43:23,34.5,39.0,OFF,OFF,2026-02-02 17:43:22
2026-02-02 17:43:28,34.4,39.0,OFF,OFF,2026-02-02 17:43:28
2026-02-02 17:43:33,34.5,39.0,OFF,OFF,2026-02-02 17:43:33
2026-02-02 17:43:38,34.4,38.9,OFF,OFF,2026-02-02 17:43:38
2026-02-02 17:43:43,34.4,39.0,OFF,OFF,2026-02-02 17:43:43
2026-02-02 17:43:48,34.4,38.9,ON,OFF,2026-02-02 17:43:48
2026-02-02 17:43:53,34.4,38.9,ON,OFF,2026-02-02 17:43:53
2026-02-02 17:43:58,34.4,38.9,ON,OFF,2026-02-02 17:43:58
2026-02-02 17:44:03,34.4,38.8,ON,OFF,2026-02-02 17:44:03
2026-02-02 17:44:08,34.5,38.9,ON,OFF,2026-02-02 17:44:08
2026-02-02 17:44:13,34.4,38.8,ON,OFF,2026-02-02 17:44:13
2026-02-02 17:44:18,34.4,38.8,ON,OFF,2026-02-02 17:44:18
2026-02-02 17:44:23,34.5,38.8,ON,OFF,2026-02-02 17:44:23
2026-02-02 17:44:28,34.4,38.8,ON,OFF,2026-02-02 17:44:28
2026-02-02 17:44:33,34.4,38.8,ON,OFF,2026-02-02 17:44:33
2026-02-02 17:44:38,34.4,38.8,ON,OFF,2026-02-02 17:44:38
2026-02-02 17:44:43,34.4,38.8,ON,OFF,2026-02-02 17:44:43
2026-02-02 17:44:48,34.5,38.8,OFF,ON,2026-02-02 17:44:48
2026-02-02 17:44:53,34.4,38.8,OFF,ON,2026-02-02 17:44:53
2026-02-02 17:44:58,34.5,38.8,OFF,ON,2026-02-02 17:44:58
2026-02-02 17:45:03,34.4,38.8,OFF,ON,2026-02-02 17:45:03
2026-02-02 17:45:08,34.4,38.8,OFF,ON,2026-02-02 17:45:08
2026-02-02 17:45:13,34.4,38.8,OFF,ON,2026-02-02 17:45:13
2026-02-02 17:45:18,34.4,38.9,OFF,ON,2026-02-02 17:45:18
2026-02-02 17:45:23,34.4,38.8,OFF,ON,2026-02-02 17:45:23
2026-02-02 17:45:28,34.4,38.8,OFF,ON,2026-02-02 17:45:28
2026-02-02 17:45:33,34.4,38.8,OFF,ON,2026-02-02 17:45:33
2026-02-02 17:45:38,34.4,38.8,OFF,ON,2026-02-02 17:45:38
2026-02-02 17:45:43,34.4,38.9,OFF,ON,2026-02-02 17:45:43
2026-02-02 17:45:48,34.4,38.8,ON,OFF,2026-02-02 17:45:48
2026-02-02 17:45:53,34.4,38.8,ON,OFF,2026-02-02 17:45:53
2026-02-02 17:45:58,34.4,38.8,ON,OFF,2026-02-02 17:45:58
2026-02-02 17:46:03,34.4,38.8,ON,OFF,2026-02-02 17:46:03
2026-02-02 17:46:08,34.4,38.9,ON,OFF,2026-02-02 17:46:08
2026-02-02 17:46:13,34.4,38.9,ON,OFF,2026-02-02 17:46:13
2026-02-02 17:46:18,34.4,38.9,ON,OFF,2026-02-02 17:46:18
2026-02-02 17:46:23,34.4,38.8,ON,OFF,2026-02-02 17:46:23
2026-02-02 17:46:28,34.4,38.8,ON,OFF,2026-02-02 17:46:28
2026-02-02 17:46:33,34.4,38.8,ON,OFF,2026-02-02 17:46:33
2026-02-02 17:46:38,34.4,38.9,ON,OFF,2026-02-02 17:46:38
2026-02-02 17:46:43,34.4,38.8,ON,OFF,2026-02-02 17:46:43
2026-02-02 17:46:48,34.4,38.8,OFF,OFF,2026-02-02 17:46:48
2026-02-02 17:46:54,34.4,38.8,OFF,OFF,2026-02-02 17:46:53
2026-02-02 17:46:59,34.4,38.8,OFF,OFF,2026-02-02 17:46:58
2026-02-02 17:47:04,34.4,38.8,OFF,OFF,2026-02-02 17:47:03
2026-02-02 17:47:09,34.4,38.8,OFF,OFF,2026-02-02 17:47:08
2026-02-02 17:47:14,34.4,38.8,OFF,OFF,2026-02-02 17:47:13
2026-02-02 17:47:19,34.4,38.8,OFF,OFF,2026-02-02 17:47:18
2026-02-02 17:47:24,34.4,38.8,OFF,OFF,2026-02-02 17:47:23
2026-02-02 17:47:29,34.4,38.9,OFF,OFF,2026-02-02 17:47:28
2026-02-02 17:47:34,34.4,38.8,OFF,OFF,2026-02-02 17:47:33
2026-02-02 17:47:39,34.4,39.0,OFF,OFF,2026-02-02 17:47:38
2026-02-02 17:47:44,34.4,38.6,OFF,OFF,2026-02-02 17:47:43
2026-02-02 17:47:49,34.4,38.7,ON,OFF,2026-02-02 17:47:48
2026-02-02 17:47:54,34.4,38.9,ON,OFF,2026-02-02 17:47:53
2026-02-02 17:47:59,34.4,38.9,ON,OFF,2026-02-02 17:47:58
2026-02-02 17:48:04,34.4,38.9,ON,OFF,2026-02-02 17:48:03
2026-02-02 17:48:09,34.4,38.9,ON,OFF,2026-02-02 17:48:08
2026-02-02 17:48:14,34.4,38.9,ON,OFF,2026-02-02 17:48:14
2026-02-02 17:48:19,34.4,38.9,ON,OFF,2026-02-02 17:48:19
2026-02-02 17:48:24,34.4,38.9,ON,OFF,2026-02-02 17:48:24
2026-02-02 17:48:29,34.4,38.8,ON,OFF,2026-02-02 17:48:29
2026-02-02 17:48:34,34.4,38.9,ON,OFF,2026-02-02 17:48:34
2026-02-02 17:48:39,34.4,38.9,ON,OFF,2026-02-02 17:48:39
2026-02-02 17:48:44,34.4,38.9,ON,OFF,2026-02-02 17:48:44
2026-02-02 17:48:49,34.4,38.9,OFF,OFF,2026-02-02 17:48:49
2026-02-02 17:48:54,34.4,38.9,OFF,OFF,2026-02-02 17:48:54
2026-02-02 17:48:59,34.4,38.9,OFF,OFF,2026-02-02 17:48:59
2026-02-02 17:49:04,34.4,38.9,OFF,OFF,2026-02-02 17:49:04
2026-02-02 17:49:09,34.4,38.9,OFF,OFF,2026-02-02 17:49:09
2026-02-02 17:49:14,34.4,38.9,OFF,OFF,2026-02-02 17:49:14
2026-02-02 17:49:19,34.4,38.9,OFF,OFF,2026-02-02 17:49:19
2026-02-02 17:49:24,34.4,38.9,OFF,OFF,2026-02-02 17:49:24
2026-02-02 17:49:29,34.4,38.9,OFF,OFF,2026-02-02 17:49:29
2026-02-02 17:49:34,34.4,38.8,OFF,OFF,2026-02-02 17:49:34
2026-02-02 17:49:39,34.4,38.8,OFF,OFF,2026-02-02 17:49:39
2026-02-02 17:49:44,34.4,38.9,OFF,OFF,2026-02-02 17:49:44
2026-02-02 17:49:49,34.4,38.9,ON,OFF,2026-02-02 17:49:49
internet,2026-02-02 17:51:50,34.4,38.7,ON,OFF,2026-02-02 17:51:49
internet,2026-02-02 17:51:55,34.3,38.6,ON,OFF,2026-02-02 17:51:54
internet,2026-02-02 17:52:00,34.4,38.6,ON,OFF,2026-02-02 17:51:59
internet,2026-02-02 17:52:05,34.4,38.7,ON,OFF,2026-02-02 17:52:04
internet,2026-02-02 17:52:10,34.3,38.6,ON,OFF,2026-02-02 17:52:09
internet,2026-02-02 17:52:15,34.4,38.6,ON,OFF,2026-02-02 17:52:14
internet,2026-02-02 17:52:20,34.3,38.6,ON,OFF,2026-02-02 17:52:19
internet,2026-02-02 17:52:25,34.3,38.6,ON,OFF,2026-02-02 17:52:24
internet,2026-02-02 17:52:30,34.4,38.6,ON,OFF,2026-02-02 17:52:29
internet,2026-02-02 17:52:35,34.3,38.6,ON,OFF,2026-02-02 17:52:34
internet,2026-02-02 17:52:40,34.3,38.7,ON,OFF,2026-02-02 17:52:39
internet,2026-02-02 17:52:45,34.3,38.7,ON,OFF,2026-02-02 17:52:44
internet,2026-02-02 17:52:50,34.3,38.7,OFF,OFF,2026-02-02 17:52:49
internet,2026-02-02 17:52:55,34.3,38.7,OFF,OFF,2026-02-02 17:52:55
internet,2026-02-02 17:53:00,34.3,38.7,OFF,OFF,2026-02-02 17:53:00
internet,2026-02-02 17:53:05,34.3,38.7,OFF,OFF,2026-02-02 17:53:05
arduino,2026-02-02 17:53:50,34.3,38.7,ON,OFF,2026-02-02 17:53:49
arduino,2026-02-02 17:53:55,34.3,38.7,ON,OFF,2026-02-02 17:53:54
arduino,2026-02-02 17:54:00,34.3,38.5,ON,OFF,2026-02-02 17:53:59
arduino,2026-02-02 17:54:05,34.3,38.7,ON,OFF,2026-02-02 17:54:04
arduino,2026-02-02 17:54:10,34.3,38.7,ON,OFF,2026-02-02 17:54:09
arduino,2026-02-02 17:54:15,34.3,38.6,ON,OFF,2026-02-02 17:54:14
arduino,2026-02-02 17:54:20,34.3,38.7,ON,OFF,2026-02-02 17:54:19
arduino,2026-02-02 17:54:25,34.3,38.7,ON,OFF,2026-02-02 17:54:24
arduino,2026-02-02 17:54:30,34.3,38.7,ON,OFF,2026-02-02 17:54:29
arduino,2026-02-02 17:54:35,34.3,38.6,ON,OFF,2026-02-02 17:54:34
arduino,2026-02-02 17:54:40,34.3,38.7,ON,OFF,2026-02-02 17:54:39
arduino,2026-02-02 17:54:45,34.3,38.7,ON,OFF,2026-02-02 17:54:44
arduino,2026-02-02 17:54:50,34.3,38.7,OFF,OFF,2026-02-02 17:54:49
internet,2026-02-02 18:33:54,34.4,39.2,OFF,ON,2026-02-02 18:33:53
internet,2026-02-02 18:33:59,34.4,39.4,ON,OFF,2026-02-02 18:33:58
internet,2026-02-02 18:34:04,34.4,39.3,ON,OFF,2026-02-02 18:34:03
system,2026-02-02 18:34:39,34.3,39.7,ON,OFF,2026-02-02 18:34:38
system,2026-02-02 18:34:44,34.3,40.0,ON,OFF,2026-02-02 18:34:43
system,2026-02-02 18:34:49,34.3,39.9,ON,OFF,2026-02-02 18:34:48
system,2026-02-02 18:34:54,34.3,39.9,ON,OFF,2026-02-02 18:34:53
internet,2026-02-02 18:42:40,33.8,41.0,ON,OFF,2026-02-02 18:42:40
internet,2026-02-02 18:42:45,33.8,40.9,ON,OFF,2026-02-02 18:42:45
internet,2026-02-02 18:42:50,33.8,41.0,ON,OFF,2026-02-02 18:42:50
internet,2026-02-02 18:42:55,33.8,41.0,ON,OFF,2026-02-02 18:42:55
internet,2026-02-02 18:43:00,33.8,41.0,OFF,OFF,2026-02-02 18:43:00
internet,2026-02-02 18:43:05,33.7,41.0,OFF,OFF,2026-02-02 18:43:05
internet,2026-02-02 18:43:10,33.8,41.0,OFF,OFF,2026-02-02 18:43:10
internet,2026-02-02 18:43:16,33.8,41.1,OFF,OFF,2026-02-02 18:43:15
internet,2026-02-02 18:43:21,33.7,41.1,OFF,OFF,2026-02-02 18:43:20
internet,2026-02-02 18:43:26,33.7,41.1,OFF,OFF,2026-02-02 18:43:25
internet,2026-02-02 18:43:31,33.7,41.0,OFF,OFF,2026-02-02 18:43:30
internet,2026-02-02 18:43:36,33.8,41.1,OFF,OFF,2026-02-02 18:43:35
internet,2026-02-02 18:43:41,33.8,41.1,OFF,OFF,2026-02-02 18:43:40
internet,2026-02-02 18:43:46,33.7,41.1,OFF,OFF,2026-02-02 18:43:45
internet,2026-02-02 18:43:51,33.7,41.2,OFF,OFF,2026-02-02 18:43:50
internet,2026-02-02 18:43:56,33.8,41.1,OFF,OFF,2026-02-02 18:43:55
internet,2026-02-02 18:44:01,33.7,41.1,ON,OFF,2026-02-02 18:44:00
internet,2026-02-02 18:44:06,33.8,41.0,ON,OFF,2026-02-02 18:44:05
internet,2026-02-02 18:44:11,33.7,41.0,ON,OFF,2026-02-02 18:44:10
internet,2026-02-02 18:44:16,33.7,41.0,ON,OFF,2026-02-02 18:44:15
internet,2026-02-02 18:44:21,33.7,41.0,ON,OFF,2026-02-02 18:44:20
internet,2026-02-02 18:44:26,33.7,41.0,ON,OFF,2026-02-02 18:44:25
internet,2026-02-02 18:44:31,33.7,41.1,ON,OFF,2026-02-02 18:44:30
internet,2026-02-02 18:44:36,33.7,41.1,ON,OFF,2026-02-02 18:44:35
internet,2026-02-02 18:44:41,33.7,41.1,ON,OFF,2026-02-02 18:44:41
internet,2026-02-02 18:44:46,33.7,41.1,ON,OFF,2026-02-02 18:44:46
internet,2026-02-02 18:44:51,33.7,41.1,ON,OFF,2026-02-02 18:44:51
internet,2026-02-02 18:44:56,33.7,41.1,ON,OFF,2026-02-02 18:44:56
internet,2026-02-02 18:45:01,33.7,41.0,OFF,ON,2026-02-02 18:45:01
internet,2026-02-02 18:45:06,33.7,41.0,OFF,ON,2026-02-02 18:45:06
internet,2026-02-02 18:45:11,33.7,41.1,OFF,ON,2026-02-02 18:45:11
internet,2026-02-02 18:45:16,33.7,41.1,OFF,ON,2026-02-02 18:45:16
internet,2026-02-02 18:45:21,33.7,41.1,OFF,ON,2026-02-02 18:45:21
internet,2026-02-02 18:45:26,33.7,41.1,OFF,ON,2026-02-02 18:45:26
internet,2026-02-02 18:45:31,33.7,41.0,OFF,ON,2026-02-02 18:45:31
internet,2026-02-02 18:45:36,33.7,41.1,OFF,ON,2026-02-02 18:45:36
internet,2026-02-02 18:45:41,33.7,41.1,OFF,ON,2026-02-02 18:45:41
internet,2026-02-02 18:45:46,33.7,41.0,OFF,ON,2026-02-02 18:45:46
internet,2026-02-02 18:45:51,33.7,41.0,OFF,ON,2026-02-02 18:45:51
internet,2026-02-02 18:45:56,33.7,41.1,OFF,ON,2026-02-02 18:45:56
